uvl_file,kr_file,features,groups,constraints,error
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c4_M07.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c4_M07.kr.pl,299,117,11,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c4_M08.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c4_M08.kr.pl,346,137,13,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c4_M09.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c4_M09.kr.pl,385,154,13,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c4_M10.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c4_M10.kr.pl,426,171,13,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c5_M01.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c5_M01.kr.pl,37,13,2,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c5_M02.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c5_M02.kr.pl,56,21,2,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c5_M03.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c5_M03.kr.pl,83,33,4,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c5_M04.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c5_M04.kr.pl,119,49,4,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c5_M05.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c5_M05.kr.pl,166,69,6,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c5_M06.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c5_M06.kr.pl,213,89,6,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c5_M07.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c5_M07.kr.pl,260,108,6,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c5_M08.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c5_M08.kr.pl,295,122,8,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c5_M09.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c5_M09.kr.pl,322,132,8,
uvl_outputs_10models\ISO_DATA\ISO_DATA__Reduced_c5_M10.uvl,..\kr_outputs_10models\ISO_DATA__Reduced_c5_M10.kr.pl,337,138,8,
